NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
07105001,ISSANLAS,44.773167,3.981667,1215,10,0,12.4,9.98,25.8,24.1,17.4,demuzere,non_bati,12.0,12,14,
07105003,ISSANLAS_SAPC,44.7555,3.975333,1264,10,0,13.4,10.63,26.3,23.840000000000003,17.419999999999998,demuzere,non_bati,12.0,12,12,
07117002,LABLACHERE,44.480833,4.208333,295,10,0,19.4,15.1,34.8,31.82,23.770000000000003,demuzere,bati_special,9.0,9,9,
07128001,LALOUVESC,45.117833,4.535,1090,10,0,18.2,13.51,27.9,24.58,19.26,demuzere,non_bati,12.0,9,11,
07131001,LANAS SYN,44.537167,4.368167,265,10,0,16.9,13.78,34.7,31.87,23.670000000000005,demuzere,non_bati,14.0,14,14,Rhone-Alpes vallee
07144001,LOUBARESSE,44.599833,4.049333,1200,10,0,16.4,13.38,26.1,24.24,,demuzere,non_bati,12.0,12,12,
07153001,MAYRES,44.667167,4.113,579,10,0,16.0,13.25,33.3,30.06,21.54,demuzere,non_bati,11.0,11,11,
07154005,MAZAN ABBAYE RAD,44.733833,4.083833,1240,10,0,14.6,11.489999999999998,25.2,23.000000000000004,17.69,demuzere,non_bati,12.0,12,12,
07159001,MIRABEL SA,44.5815,4.497333,275,10,0,19.3,14.460000000000004,32.8,30.65,23.43,demuzere,bati_special,9.0,9,9,Rhone-Alpes vallee
07161001,MONTPEZAT SA,44.715667,4.207,602,10,1,20.4,16.32,32.5,28.640000000000004,22.360000000000003,demuzere,non_bati,11.0,11,11,
07161002,MONTPEZAT,44.703333,4.229667,491,10,0,19.4,14.579999999999998,32.1,29.72,,demuzere,non_bati,11.0,11,11,Rhone-Alpes vallee
